Gandalf,Elrond,33
Frodo,Bilbo,114
Blanco,Marcho,146
Frodo,Bilbo,205
Thorin,Gandalf,270
Thorin,Bilbo,270
Gandalf,Bilbo,270
Gollum,Bilbo,286
Gollum,Bilbo,306
Gollum,Bilbo,308
Bilbo,Elrond,317
Frodo,Samwise,319
Gandalf,Bilbo,320
Gollum,Bilbo,324
Frodo,Gandalf,329
Peregrin,Elessar,356
Arwen,Aragorn,358
Barahir,Faramir,359
Bilbo,Findegil,360
Meriadoc,Peregrin,363
Peregrin,Elendil,368
Galadriel,Celeborn,374
Frodo,Bilbo,387
Frodo,Bilbo,388
Frodo,Bilbo,389
Frodo,Bilbo,390
Frodo,Bilbo,393
Frodo,Bilbo,399
Hamfast,Bilbo,402
Gandalf,Bilbo,483
Gandalf,Bilbo,543
Frodo,Gandalf,555
Frodo,Bilbo,555
Gandalf,Bilbo,555
Frodo,Bilbo,562
Gandalf,Bilbo,730
Frodo,Bilbo,808
Frodo,Bilbo,815
Gandalf,Bilbo,843
Frodo,Gandalf,861
Frodo,Bilbo,898
Frodo,Merry,929
Frodo,Merry,930
Frodo,Bilbo,942
Frodo,Bilbo,944
Odo,Frodo,959
Frodo,Bilbo,1038
Meriadoc,Peregrin,1042
Meriadoc,Merry,1042
Meriadoc,Pippin,1042
Meriadoc,Fredegar,1042
Peregrin,Merry,1042
Peregrin,Pippin,1042
Peregrin,Fredegar,1042
Merry,Pippin,1042
Merry,Fredegar,1042
Pippin,Fredegar,1042
Pippin,Merry,1044
Pippin,Bilbo,1044
Merry,Bilbo,1044
Frodo,Gandalf,1056
Sam,Halfast,1089
Frodo,Bilbo,1106
Frodo,Gandalf,1130
Gandalf,Bilbo,1135
Gandalf,Bilbo,1156
Frodo,Gandalf,1160
Frodo,Saruman,1185
Gandalf,Bilbo,1229
Frodo,Gandalf,1234
Frodo,Gandalf,1241
Isildur,Elendil,1309
Isildur,Gil-galad,1309
Isildur,Sauron,1309
Elendil,Gil-galad,1309
Elendil,Sauron,1309
Gil-galad,Sauron,1309
Sméagol,Déagol,1324
Sméagol,Déagol,1330
Sméagol,Déagol,1331
Sméagol,Déagol,1336
Frodo,Gollum,1356
Frodo,Gollum,1359
Frodo,Gandalf,1390
Frodo,Gollum,1400
Frodo,Bilbo,1401
Isildur,Gollum,1407
Isildur,Déagol,1407
Gollum,Déagol,1407
Frodo,Gandalf,1417
Isildur,Elendil,1420
Frodo,Gollum,1429
Gollum,Déagol,1441
Gollum,Bilbo,1459
Gandalf,Bilbo,1469
Frodo,Bilbo,1484
Frodo,Gollum,1484
Bilbo,Gollum,1484
Frodo,Bilbo,1567
Frodo,Gollum,1567
Bilbo,Gollum,1567
Gandalf,Bilbo,1654
Frodo,Gandalf,1656
Sam,Gandalf,1677
Sam,Frodo,1687
Sam,Frodo,1705
Sam,Gandalf,1710
Sam,Gandalf,1711
Sam,Frodo,1714
Gandalf,Bilbo,1721
Frodo,Gandalf,1741
Gandalf,Bilbo,1748
Sam,Elrond,1756
Frodo,Gandalf,1783
Frodo,Gandalf,1785
Pippin,Frodo,1789
Pippin,Merry,1789
Pippin,Fredegar,1789
Frodo,Merry,1789
Frodo,Fredegar,1789
Merry,Fredegar,1789
Frodo,Gandalf,1792
Frodo,Bilbo,1802
Frodo,Gandalf,1804
Merry,Fredegar,1806
Frodo,Gandalf,1809
Lobelia,Frodo,1816
Lobelia,Lotho,1816
Frodo,Lotho,1816
Pippin,Sam,1825
Lobelia,Sam,1826
Lobelia,Frodo,1826
Sam,Frodo,1826
Pippin,Sam,1829
Sam,Frodo,1869
Sam,Frodo,1871
Peregrin,Bilbo,1879
Pippin,Sam,1888
