Task,x,y,chart,performance
Extremum,Nominal,Numerical,PieChart,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Filter,Ordinal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,PieChart,Very Good
Correlation,Numerical,Numerical,Scatterplot,Very Good
Correlation,Numerical,Numerical,Scatterplot,Very Good
Correlation,Ordinal,Numerical,Scatterplot,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,LineChart,Very Good
Anomalies,Numerical,Numerical,LineChart,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,PieChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,Scatterplot,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,PieChart,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Order,Nominal,Numerical,BarChart,Very Good
Retrieve,Nominal,Numerical,BarChart,Very Good
Retrieve,Nominal,Numerical,PieChart,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Numerical,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,LineChart,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,LineChart,Very Good
Cluster,Nominal,Numerical,PieChart,Very Good
Cluster,Ordinal,Numerical,PieChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Numerical,Numerical,Scatterplot,Very Good
Correlation,Ordinal,Numerical,Table,Very Good
Correlation,Ordinal,Numerical,Table,Very Good
Correlation,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Distribution,Nominal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,LineChart,Very Good
Extremum,Nominal,Numerical,Scatterplot,Very Good
Extremum,Nominal,Numerical,Scatterplot,Very Good
Extremum,Ordinal,Numerical,Scatterplot,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Order,Nominal,Numerical,BarChart,Very Good
Range,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,BarChart,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Numerical,Numerical,BarChart,Very Good
Anomalies,Ordinal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,PieChart,Very Good
Cluster,Ordinal,Numerical,PieChart,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Numerical,Numerical,Scatterplot,Very Good
Correlation,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,PieChart,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,PieChart,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Filter,Numerical,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Numerical,Numerical,PieChart,Very Good
Filter,Nominal,Numerical,Table,Very Good
Filter,Nominal,Numerical,Table,Very Good
Filter,Nominal,Numerical,Table,Very Good
Filter,Nominal,Numerical,Table,Very Good
Order,Nominal,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Range,Ordinal,Numerical,LineChart,Very Good
Range,Nominal,Numerical,PieChart,Very Good
Range,Nominal,Numerical,PieChart,Very Good
Range,Numerical,Numerical,PieChart,Very Good
Range,Ordinal,Numerical,Scatterplot,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Ordinal,Numerical,Table,Very Good
Range,Ordinal,Numerical,Table,Very Good
Range,Ordinal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Anomalies,Numerical,Numerical,BarChart,Very Good
Anomalies,Ordinal,Numerical,BarChart,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Anomalies,Numerical,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,PieChart,Very Good
Cluster,Numerical,Numerical,PieChart,Very Good
Cluster,Numerical,Numerical,Table,Very Good
Cluster,Numerical,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Numerical,Numerical,Table,Very Good
Derived,Nominal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,BarChart,Very Good
Distribution,Nominal,Numerical,PieChart,Very Good
Distribution,Numerical,Numerical,PieChart,Very Good
Distribution,Nominal,Numerical,Table,Very Good
Distribution,Numerical,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,LineChart,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Numerical,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Numerical,Numerical,Table,Very Good
Filter,Ordinal,Numerical,Table,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Numerical,Numerical,PieChart,Very Good
Order,Ordinal,Numerical,Scatterplot,Very Good
Range,Ordinal,Numerical,BarChart,Very Good
Range,Ordinal,Numerical,LineChart,Very Good
Range,Numerical,Numerical,PieChart,Very Good
Range,Nominal,Numerical,Scatterplot,Very Good
Range,Numerical,Numerical,Scatterplot,Very Good
Range,Numerical,Numerical,Scatterplot,Very Good
Range,Ordinal,Numerical,Scatterplot,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Ordinal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Numerical,Numerical,BarChart,Very Good
Anomalies,Ordinal,Numerical,PieChart,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Anomalies,Numerical,Numerical,Table,Very Good
Anomalies,Numerical,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Numerical,Numerical,BarChart,Very Good
Cluster,Numerical,Numerical,BarChart,Very Good
Cluster,Numerical,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,PieChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Numerical,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Numerical,Numerical,PieChart,Very Good
Derived,Numerical,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,LineChart,Very Good
Distribution,Nominal,Numerical,PieChart,Very Good
Distribution,Nominal,Numerical,Scatterplot,Very Good
Distribution,Nominal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,Scatterplot,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Extremum,Numerical,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Filter,Nominal,Numerical,BarChart,Very Good
Filter,Nominal,Numerical,BarChart,Very Good
Filter,Nominal,Numerical,PieChart,Very Good
Filter,Ordinal,Numerical,PieChart,Very Good
Filter,Ordinal,Numerical,PieChart,Very Good
Order,Nominal,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Nominal,Numerical,LineChart,Very Good
Order,Ordinal,Numerical,Table,Very Good
Range,Nominal,Numerical,BarChart,Very Good
Range,Nominal,Numerical,BarChart,Very Good
Range,Numerical,Numerical,BarChart,Very Good
Range,Nominal,Numerical,LineChart,Very Good
Range,Numerical,Numerical,LineChart,Very Good
Range,Numerical,Numerical,LineChart,Very Good
Range,Ordinal,Numerical,LineChart,Very Good
Range,Nominal,Numerical,PieChart,Very Good
Range,Numerical,Numerical,PieChart,Very Good
Range,Ordinal,Numerical,PieChart,Very Good
Range,Nominal,Numerical,Scatterplot,Very Good
Range,Numerical,Numerical,Scatterplot,Very Good
Range,Numerical,Numerical,Scatterplot,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Numerical,Numerical,Table,Very Good
Range,Ordinal,Numerical,Table,Very Good
Range,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,BarChart,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,BarChart,Very Good
Anomalies,Numerical,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,LineChart,Very Good
Anomalies,Nominal,Numerical,LineChart,Very Good
Anomalies,Numerical,Numerical,PieChart,Very Good
Anomalies,Ordinal,Numerical,PieChart,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Numerical,Numerical,BarChart,Very Good
Cluster,Numerical,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,BarChart,Very Good
Cluster,Ordinal,Numerical,PieChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,BarChart,Very Good
Derived,Numerical,Numerical,BarChart,Very Good
Derived,Numerical,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,PieChart,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Distribution,Nominal,Numerical,BarChart,Very Good
Distribution,Numerical,Numerical,BarChart,Very Good
Distribution,Ordinal,Numerical,BarChart,Very Good
Distribution,Ordinal,Numerical,BarChart,Very Good
Distribution,Ordinal,Numerical,BarChart,Very Good
Distribution,Numerical,Numerical,Scatterplot,Very Good
Distribution,Ordinal,Numerical,Scatterplot,Very Good
Distribution,Nominal,Numerical,Table,Very Good
Distribution,Nominal,Numerical,Table,Very Good
Distribution,Numerical,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Distribution,Ordinal,Numerical,Table,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Numerical,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,PieChart,Very Good
Extremum,Ordinal,Numerical,Scatterplot,Very Good
Extremum,Ordinal,Numerical,Table,Very Good
Filter,Numerical,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Ordinal,Numerical,BarChart,Very Good
Filter,Numerical,Numerical,PieChart,Very Good
Filter,Numerical,Numerical,Scatterplot,Very Good
Filter,Nominal,Numerical,Table,Very Good
Filter,Nominal,Numerical,Table,Very Good
Filter,Numerical,Numerical,Table,Very Good
Order,Numerical,Numerical,BarChart,Very Good
Order,Numerical,Numerical,BarChart,Very Good
Order,Numerical,Numerical,BarChart,Very Good
Order,Numerical,Numerical,BarChart,Very Good
Order,Numerical,Numerical,BarChart,Very Good
Order,Numerical,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Ordinal,Numerical,BarChart,Very Good
Order,Numerical,Numerical,LineChart,Very Good
Order,Ordinal,Numerical,PieChart,Very Good
Order,Ordinal,Numerical,PieChart,Very Good
Order,Nominal,Numerical,Scatterplot,Very Good
Order,Ordinal,Numerical,Table,Very Good
Order,Ordinal,Numerical,Table,Very Good
Range,Numerical,Numerical,BarChart,Very Good
Range,Nominal,Numerical,LineChart,Very Good
Range,Nominal,Numerical,LineChart,Very Good
Range,Nominal,Numerical,PieChart,Very Good
Range,Ordinal,Numerical,PieChart,Very Good
Range,Nominal,Numerical,Scatterplot,Very Good
Range,Nominal,Numerical,Scatterplot,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Nominal,Numerical,Table,Very Good
Range,Numerical,Numerical,Table,Very Good
Range,Numerical,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,BarChart,Very Good
Retrieve,Ordinal,Numerical,BarChart,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,BarChart,Very Good
Anomalies,Ordinal,Numerical,BarChart,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Cluster,Numerical,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Derived,Nominal,Numerical,BarChart,Very Good
Derived,Numerical,Numerical,BarChart,Very Good
Derived,Ordinal,Numerical,BarChart,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Nominal,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Numerical,Numerical,Table,Very Good
Derived,Ordinal,Numerical,Table,Very Good
Distribution,Numerical,Numerical,BarChart,Very Good
Distribution,Nominal,Numerical,LineChart,Very Good
Distribution,Nominal,Numerical,PieChart,Very Good
